"Time","Ethnicity","%"
"2004","All","94"
"2004","Asian","91"
"2004","Indian","92"
"2004","Pakistani and Bangladeshi","91"
"2004","Asian other inc Chinese","92"
"2004","Black","92"
"2004","Mixed","91"
"2004","White","94"
"2004","White British","95"
"2004","White other","90"
"2004","Other","87"
"2005","All","95"
"2005","Asian","91"
"2005","Indian","91"
"2005","Pakistani and Bangladeshi","92"
"2005","Asian other inc Chinese","89"
"2005","Black","90"
"2005","Mixed","93"
"2005","White","95"
"2005","White British","95"
"2005","White other","91"
"2005","Other","89"
"2006","All","94"
"2006","Asian","91"
"2006","Indian","90"
"2006","Pakistani and Bangladeshi","92"
"2006","Asian other inc Chinese","91"
"2006","Black","92"
"2006","Mixed","93"
"2006","White","95"
"2006","White British","95"
"2006","White other","91"
"2006","Other","89"
"2007","All","94"
"2007","Asian","92"
"2007","Indian","93"
"2007","Pakistani and Bangladeshi","91"
"2007","Asian other inc Chinese","92"
"2007","Black","92"
"2007","Mixed","90"
"2007","White","95"
"2007","White British","95"
"2007","White other","92"
"2007","Other","88"
"2008","All","95"
"2008","Asian","92"
"2008","Indian","93"
"2008","Pakistani and Bangladeshi","91"
"2008","Asian other inc Chinese","91"
"2008","Black","92"
"2008","Mixed","91"
"2008","White","95"
"2008","White British","95"
"2008","White other","92"
"2008","Other","89"
"2009","All","94"
"2009","Asian","92"
"2009","Indian","92"
"2009","Pakistani and Bangladeshi","93"
"2009","Asian other inc Chinese","89"
"2009","Black","94"
"2009","Mixed","90"
"2009","White","95"
"2009","White British","95"
"2009","White other","92"
"2009","Other","88"
"2010","All","94"
"2010","Asian","91"
"2010","Indian","91"
"2010","Pakistani and Bangladeshi","90"
"2010","Asian other inc Chinese","90"
"2010","Black","91"
"2010","Mixed","91"
"2010","White","94"
"2010","White British","95"
"2010","White other","92"
"2010","Other","93"
"2011","All","94"
"2011","Asian","-"
"2011","Indian","-"
"2011","Pakistani and Bangladeshi","-"
"2011","Asian other inc Chinese","-"
"2011","Black","-"
"2011","Mixed","-"
"2011","White","-"
"2011","White British","-"
"2011","White other","-"
"2011","Other","-"
"2012","All","94"
"2012","Asian","91"
"2012","Indian","92"
"2012","Pakistani and Bangladeshi","89"
"2012","Asian other inc Chinese","91"
"2012","Black","90"
"2012","Mixed","89"
"2012","White","94"
"2012","White British","94"
"2012","White other","91"
"2012","Other","90"
"2013","All","94"
"2013","Asian","91"
"2013","Indian","91"
"2013","Pakistani and Bangladeshi","92"
"2013","Asian other inc Chinese","91"
"2013","Black","91"
"2013","Mixed","87"
"2013","White","94"
"2013","White British","94"
"2013","White other","91"
"2013","Other","92"
"2014","All","94"
"2014","Asian","92"
"2014","Indian","92"
"2014","Pakistani and Bangladeshi","91"
"2014","Asian other inc Chinese","91"
"2014","Black","89"
"2014","Mixed","90"
"2014","White","94"
"2014","White British","94"
"2014","White other","92"
"2014","Other","91"
"2015","All","94"
"2015","Asian","92"
"2015","Indian","93"
"2015","Pakistani and Bangladeshi","91"
"2015","Asian other inc Chinese","92"
"2015","Black","89"
"2015","Mixed","90"
"2015","White","94"
"2015","White British","95"
"2015","White other","91"
"2015","Other","91"
"2016","All","94"
"2016","Asian","93"
"2016","Indian","94"
"2016","Pakistani and Bangladeshi","92"
"2016","Asian other inc Chinese","92"
"2016","Black","90"
"2016","Mixed","91"
"2016","White","94"
"2016","White British","95"
"2016","White other","91"
"2016","Other","90"
"2017","All","94"
"2017","Asian","92"
"2017","Indian","93"
"2017","Pakistani and Bangladeshi","92"
"2017","Asian other inc Chinese","92"
"2017","Black","88"
"2017","Mixed","91"
"2017","White","95"
"2017","White British","95"
"2017","White other","92"
"2017","Other","91"
"2018","All","95"
"2018","Asian","93"
"2018","Indian","94"
"2018","Pakistani and Bangladeshi","93"
"2018","Asian other inc Chinese","91"
"2018","Black","89"
"2018","Mixed","92"
"2018","White","95"
"2018","White British","95"
"2018","White other","92"
"2018","Other","91"
"2019","All","95"
"2019","Asian","94"
"2019","Indian","95"
"2019","Pakistani and Bangladeshi","93"
"2019","Asian other inc Chinese","93"
"2019","Black","91"
"2019","Mixed","92"
"2019","White","95"
"2019","White British","95"
"2019","White other","93"
"2019","Other","91"
